k_wil;nama_sls;rt;art;validasi;perlakuan;cek;catatan
1206030035000200-6                             ;DUSUN 2;6;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030035000200-73                            ;DUSUN 2;73;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030035000200-79                            ;DUSUN 2;79;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030035000200-85                            ;DUSUN 2;85;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030037000100-43                            ;DUSUN 1;43;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030037000100-46                            ;DUSUN 1;46;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030037000100-49                            ;DUSUN 1;49;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030037000100-69                            ;DUSUN 1;69;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030037000100-71                            ;DUSUN 1;71;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030037000100-76                            ;DUSUN 1;76;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030037000100-78                            ;DUSUN 1;78;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030038000100-32                            ;DUSUN 1;32;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030038000200-88                            ;DUSUN 2;88;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030038000300-58                            ;DUSUN 3;58;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030038000400-3                             ;DUSUN 4;3;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030038000400-47                            ;DUSUN 4;47;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030038000400-48                            ;DUSUN 4;48;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030038000400-5                             ;DUSUN 4;5;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030039000200-44                            ;DUSUN 2 TIKKA TIKKA;44;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030039000200-57                            ;DUSUN 2 TIKKA TIKKA;57;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030039000200-6                             ;DUSUN 2 TIKKA TIKKA;6;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030039000200-62                            ;DUSUN 2 TIKKA TIKKA;62;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030039000200-7                             ;DUSUN 2 TIKKA TIKKA;7;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206031001000200-15                            ;DUSUN 2;15;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206031002000100-33                            ;DUSUN 1;33;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206031002000100-5                             ;DUSUN 1;5;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206031002000200-23                            ;DUSUN 2;23;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206031002000200-40                            ;DUSUN 2;40;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206031002000300-26                            ;DUSUN 3;26;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206031003000100-11                            ;DUSUN 1;11;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206031003000100-32                            ;DUSUN 1;32;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206031003000100-42                            ;DUSUN 1;42;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206031003000100-8                             ;DUSUN 1;8;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206031003000100-9                             ;DUSUN 1;9;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206031003000200-38                            ;DUSUN 2;38;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206031003000200-47                            ;DUSUN 2;47;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206031003000200-76                            ;DUSUN 2;76;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206031003000200-98                            ;DUSUN 2;98;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206031003000300-111                           ;DUSUN 3;111;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206031003000300-3                             ;DUSUN 3;3;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206031003000300-57                            ;DUSUN 3;57;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206031003000300-59                            ;DUSUN 3;59;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206031003000400-10                            ;DUSUN 4;10;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206031003000400-32                            ;DUSUN 4;32;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206031003000400-36                            ;DUSUN 4;36;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206031003000400-50                            ;DUSUN 4;50;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206031003000400-56                            ;DUSUN 4;56;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206031003000400-6                             ;DUSUN 4;6;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206031003000400-9                             ;DUSUN 4;9;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206031004000100-11                            ;DUSUN 1;11;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206031004000100-4                             ;DUSUN 1;4;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206031004000100-48                            ;DUSUN 1;48;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206031004000100-49                            ;DUSUN 1;49;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206031004000100-50                            ;DUSUN 1;50;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206031004000100-6                             ;DUSUN 1;6;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
